Date / Time,CPU Usage %,Temperature C
2023-03-28 14:16:05.307323,12.6,47.2
2023-03-28 14:16:15.794661,8.9,46.2
2023-03-28 14:16:26.259933,10.6,48.2
2023-03-28 14:16:36.767033,13.3,47.2
2023-03-28 14:16:47.241056,12.5,47.2
2023-03-28 14:16:57.710201,14.4,48.7
2023-03-28 14:17:08.212197,11.5,47.7
2023-03-28 14:17:18.653007,13.6,47.2
2023-03-28 14:17:29.116929,15.7,47.7
2023-03-28 14:17:39.609642,13.6,47.2
2023-03-28 14:17:50.101042,14.2,47.2
2023-03-28 14:18:00.548746,12.6,47.2
2023-03-28 14:18:11.035464,11.2,47.7
2023-03-28 14:18:21.617747,14.5,47.7
2023-03-28 14:18:32.186306,13.2,47.2
2023-03-28 14:18:42.660646,12.2,47.7
2023-03-28 14:18:53.194041,11,47.2
2023-03-28 14:19:03.640279,12.9,46.7
2023-03-28 14:19:14.112744,10.1,47.2
2023-03-28 14:19:24.650228,10,46.7
2023-03-28 18:40:34.736842,6.4,49.1
2023-03-28 18:41:19.781143,8.5,50.1
2023-03-28 18:42:55.192444,8.8,50.6
2023-03-28 18:43:06.028521,1.8,50.1
2023-03-28 18:43:16.777489,1.1,49.6
2023-03-28 18:44:41.662082,8.3,50.6
2023-03-28 18:44:52.550117,1.1,50.6
2023-03-28 18:45:03.321572,1.3,50.1
2023-03-28 18:46:50.212863,8.1,50.6
2023-03-28 18:47:01.184077,1.1,50.6
2023-03-28 18:47:12.130062,1.3,49.6
2023-03-28 18:47:23.064514,0.8,50.1
2023-03-28 18:47:33.780269,0.7,49.6
2023-03-28 18:47:44.592976,0.6,50.1
2023-03-28 18:47:55.142425,0.8,50.1
2023-03-28 18:48:05.929008,1.1,51.1
2023-03-28 18:48:16.425163,0.7,49.6
2023-03-28 18:48:26.937412,0.6,48.7
2023-03-28 18:48:37.475466,0.9,51.1
2023-03-28 18:48:48.151433,0.7,50.1
2023-03-28 18:48:58.689320,0.6,49.6
2023-03-28 18:49:09.210640,1.2,50.6
2023-03-28 18:49:19.879768,0.7,50.6
2023-03-28 18:49:30.524230,0.8,50.1
2023-03-28 18:49:41.191579,0.6,50.1
2023-03-28 18:49:51.837817,0.7,49.6
2023-03-28 18:50:02.526303,0.9,51.6
2023-03-28 18:50:13.061079,0.9,50.6
2023-03-28 18:50:23.554488,0.7,50.6
2023-03-28 18:50:34.222488,0.7,50.6
2023-03-28 18:50:44.915211,0.7,50.6
2023-03-28 18:50:55.434550,0.7,51.1
2023-03-28 18:51:05.989439,1.1,50.1
2023-03-28 18:51:16.544133,0.6,50.1
2023-03-28 18:51:27.248483,0.8,50.6
2023-03-28 18:51:37.764313,0.7,50.6
2023-03-28 18:51:48.564076,0.6,49.1
2023-03-28 18:51:59.126371,0.2,49.6
2023-03-28 18:52:09.693074,0.8,49.6
2023-03-28 18:52:20.266482,0.2,50.6
2023-03-28 18:52:30.835650,0.3,48.2
2023-03-28 18:52:41.388494,0.2,48.7
2023-03-28 18:52:51.996900,0.4,48.7
2023-03-28 18:53:02.669462,0.4,49.1
2023-03-28 18:53:13.259504,0.6,48.7
2023-03-28 18:53:23.812266,0.3,49.6
2023-03-28 18:53:34.350971,0.2,49.1
2023-03-28 18:53:44.899389,0.3,49.1
2023-03-28 18:53:55.460311,0.2,48.7
2023-03-28 18:54:06.030934,0.8,48.7
2023-03-28 18:54:16.532624,0.1,49.1
2023-03-28 18:54:27.127990,0.3,48.7
2023-03-28 18:54:37.662953,0.2,48.2
2023-03-28 18:54:48.220707,0.3,48.2
2023-03-28 18:54:58.810518,0.2,48.7
2023-03-28 18:55:09.354955,0.9,49.1
2023-03-28 18:55:19.968632,0.2,48.7
2023-03-28 18:55:30.547226,0.3,48.2
2023-03-28 18:55:41.121264,0.2,48.2
2023-03-28 18:55:51.798589,0.3,49.1
2023-03-28 18:56:02.429736,0.4,48.2
2023-03-28 18:56:13.012266,0.6,47.2
2023-03-28 18:56:23.635140,0.3,48.7
2023-03-28 18:56:34.192378,0.2,48.2
2023-03-28 18:56:44.757196,0.2,48.2
2023-03-28 18:56:55.368126,0.4,47.2
2023-03-28 18:57:05.928871,0.8,48.2
2023-03-28 18:57:16.532411,0.1,48.7
2023-03-28 18:57:27.112147,0.2,48.2
2023-03-28 18:57:37.674173,0.3,48.2
2023-03-28 18:57:48.257476,0.4,49.1
2023-03-28 18:57:58.787758,0.2,48.7
2023-03-28 18:58:09.348242,0.7,48.2
2023-03-28 18:58:19.920553,0.2,48.2
2023-03-28 18:58:30.554421,0.2,47.2
2023-03-28 18:58:41.137050,0.3,47.2
2023-03-28 18:58:51.704913,0.4,48.2
2023-03-28 18:59:02.359425,0.3,49.1
2023-03-28 18:59:12.940047,0.7,48.7
2023-03-28 18:59:23.516660,0.2,49.1
2023-03-28 18:59:34.067351,0.2,48.7
2023-03-28 18:59:44.658512,0.2,47.7
2023-03-28 18:59:55.234750,0.3,49.1
2023-03-28 19:00:05.822638,0.8,48.7
2023-03-28 19:00:16.339723,0.1,48.2
2023-03-28 19:00:26.900346,0.3,49.1
2023-03-28 19:00:37.513295,0.3,48.2
2023-03-28 19:00:48.127805,0.3,48.2
2023-03-28 19:00:58.718172,0.3,48.7
2023-03-28 19:01:09.286425,0.6,49.6
2023-03-28 19:01:19.831555,0.2,47.7
2023-03-28 19:01:30.560562,0.3,48.2
2023-03-28 19:01:41.179663,0.2,47.7
2023-03-28 19:01:51.703281,0.3,48.2
2023-03-28 19:02:02.370987,0.4,48.7
2023-03-28 19:02:12.960521,0.6,49.1
2023-03-28 19:02:23.519599,0.3,48.2
2023-03-28 19:02:34.052329,0.3,48.7
2023-03-28 19:02:44.608299,0.2,48.2
2023-03-28 19:02:55.170575,0.3,47.7
2023-03-28 19:03:05.727711,0.8,48.7
2023-03-28 19:03:16.262788,0.2,48.7
2023-03-28 19:03:26.800422,0.3,47.7
2023-03-28 19:03:37.442417,0.3,48.2
2023-03-28 19:03:47.991483,0.3,48.2
2023-03-28 19:03:58.526280,0.3,47.7
2023-03-28 19:04:09.053297,0.7,48.7
2023-03-28 19:04:19.556366,0.2,47.7
2023-03-28 19:04:30.072558,0.2,47.7
2023-03-28 19:04:40.621245,0.2,47.7
2023-03-28 19:04:51.158076,0.3,47.2
2023-03-28 19:05:01.815325,0.4,48.2
2023-03-28 19:05:12.381598,0.7,48.7
2023-03-28 19:05:22.949259,0.2,47.7
2023-03-28 19:05:33.659480,0.2,49.1
2023-03-28 19:05:44.226603,0.3,46.7
2023-03-28 19:05:54.770988,0.4,48.7
2023-03-28 19:06:05.316782,0.9,48.2
2023-03-28 19:06:15.848290,0.1,47.2
2023-03-28 19:06:27.053017,0.2,48.7
2023-03-28 19:06:37.807701,0.3,48.2
2023-03-28 19:06:48.413939,0.2,47.2
2023-03-28 19:06:59.009206,0.3,48.7
2023-03-28 19:07:09.573407,0.8,48.7
2023-03-28 19:07:20.128106,0.3,48.7
2023-03-28 19:07:30.698851,0.2,47.7
2023-03-28 19:07:41.251869,0.2,48.2
2023-03-28 19:07:51.809803,0.3,48.2
2023-03-28 19:08:02.494976,0.3,47.7
2023-03-28 19:08:13.192358,0.7,48.7
2023-03-28 19:08:23.740093,0.3,48.2
2023-03-28 19:08:34.278172,0.3,48.2
2023-03-28 19:08:44.864045,0.3,47.2
2023-03-28 19:08:55.465811,0.3,46.7
2023-03-28 19:09:06.020040,1.4,47.7
2023-03-28 19:09:16.599490,0.1,47.7
2023-03-28 19:09:27.215693,0.3,47.2
2023-03-28 19:09:38.428088,0.3,46.2
2023-03-28 19:09:49.124306,0.2,48.2
2023-03-28 19:09:59.691261,0.2,46.7
2023-03-28 19:10:10.397781,0.8,47.7
2023-03-28 19:10:21.031822,0.3,48.2
2023-03-28 19:10:31.578241,0.2,47.7
2023-03-28 19:10:42.160533,0.2,47.7
2023-03-28 19:10:52.711604,0.3,47.2
2023-03-28 19:11:03.457583,0.4,47.2
2023-03-28 19:11:14.307594,0.7,48.2
2023-03-28 19:11:24.913287,0.2,47.7
2023-03-28 19:11:35.447576,0.2,46.7
2023-03-28 19:11:46.116410,0.2,47.7
2023-03-28 19:11:56.648369,0.3,46.7
2023-03-28 19:12:07.207948,0.8,47.2
2023-03-28 19:12:17.763005,0.2,47.7
2023-03-28 19:12:28.334521,0.2,46.7
2023-03-28 19:12:38.921583,0.3,46.2
2023-03-28 19:12:49.494476,0.3,46.7
2023-03-28 19:13:00.205242,0.2,47.2
2023-03-28 19:13:10.777747,0.9,47.2
2023-03-28 19:13:21.366628,0.3,46.2
2023-03-28 19:13:32.333385,0.3,47.2
2023-03-28 19:13:43.071738,0.2,46.7
2023-03-28 19:13:53.637456,0.4,46.7
2023-03-28 19:14:04.283586,0.4,47.2
2023-03-28 19:14:14.850220,0.7,46.7
2023-03-28 19:14:25.492055,0.3,46.7
2023-03-28 19:14:36.175412,0.3,46.7
2023-03-28 19:14:46.752741,0.2,46.7
2023-03-28 19:14:57.345825,0.3,46.2
2023-03-28 19:15:07.903101,0.8,46.7
2023-03-28 19:15:18.604893,0.1,46.7
2023-03-28 19:15:29.191754,0.3,46.7
2023-03-28 19:15:39.784417,0.2,45.7
2023-03-28 19:15:50.349550,0.3,46.2
2023-03-28 19:16:01.204967,0.3,46.7
2023-03-28 19:16:11.789190,0.8,46.7
2023-03-28 19:16:22.735305,0.3,46.2
2023-03-28 19:16:33.459297,0.2,46.7
2023-03-28 19:16:44.052104,0.2,46.7
2023-03-28 19:16:54.630939,0.3,45.7
2023-03-28 19:17:05.321941,1,47.2
2023-03-28 19:17:15.833119,0.1,46.2
2023-03-28 19:17:26.437401,0.2,46.2
2023-03-28 19:17:37.620556,0.2,46.2
2023-03-28 19:17:48.191328,0.2,46.7
2023-03-28 19:17:58.724336,0.3,46.7
2023-03-28 19:18:09.279303,0.7,46.7
2023-03-28 19:18:19.811812,0.2,46.2
2023-03-28 19:18:30.391502,0.2,46.7
2023-03-28 19:18:40.936103,0.3,46.2
2023-03-28 19:18:51.485374,0.3,45.7
2023-03-28 19:19:02.076215,0.4,46.2
2023-03-28 19:19:12.630107,0.6,45.7
2023-03-28 19:19:23.204152,0.3,46.7
2023-03-28 19:19:33.775231,0.3,46.2
2023-03-28 19:19:44.335821,0.3,46.2
2023-03-28 19:19:54.875276,0.3,45.7
2023-03-28 19:20:05.611948,0.8,47.2
2023-03-28 19:20:16.392909,0.1,46.2
2023-03-28 19:20:27.050153,0.3,45.7
2023-03-28 19:20:37.618005,0.3,46.2
2023-03-28 19:20:48.184659,0.3,45.7
2023-03-28 19:20:58.877243,0.3,46.7
2023-03-28 19:21:09.633418,0.8,47.2
2023-03-28 19:21:20.188723,0.4,46.7
2023-03-28 19:21:30.781943,0.2,46.7
2023-03-28 19:21:41.340567,0.4,46.7
2023-03-28 19:21:51.897733,0.3,46.7
2023-03-28 19:22:02.475358,0.4,46.2
2023-03-28 19:22:13.076680,0.6,46.2
2023-03-28 19:22:23.647302,0.3,46.2
2023-03-28 19:22:34.295730,0.2,46.2
2023-03-28 19:22:44.890280,0.2,45.7
2023-03-28 19:22:55.452285,0.3,46.2
2023-03-28 19:23:06.124288,0.8,46.2
2023-03-28 19:23:16.724091,0.2,47.2
2023-03-28 19:23:27.338564,0.3,46.7
2023-03-28 19:23:37.892250,0.3,46.2
2023-03-28 19:23:48.466564,0.2,44.8
2023-03-28 19:23:59.043282,0.3,46.2
2023-03-28 19:24:09.620319,0.9,46.7
2023-03-28 19:24:20.177922,0.2,46.7
2023-03-28 19:24:30.778583,0.2,46.2
2023-03-28 19:24:41.324077,0.2,45.7
2023-03-28 19:24:51.908314,0.3,46.2
2023-03-28 19:25:02.522296,0.4,46.7
2023-03-28 19:25:13.069217,0.6,46.2
2023-03-28 19:25:23.883888,0.3,44.8
2023-03-28 19:25:34.413898,0.2,45.7
2023-03-28 19:25:44.989577,0.3,46.7
2023-03-28 19:25:55.549258,0.4,45.7
2023-03-28 19:26:06.247281,0.8,47.2
2023-03-28 19:26:16.785601,0.1,47.2
2023-03-28 19:26:27.336631,0.3,45.7
2023-03-28 19:26:37.970821,0.3,46.7
2023-03-28 19:26:48.621676,0.2,46.2
2023-03-28 19:26:59.180501,0.3,46.2
2023-03-28 19:27:09.709997,0.8,46.2
2023-03-28 19:27:20.277856,0.3,46.7
2023-03-28 19:27:30.870525,0.3,46.2
2023-03-28 19:27:41.431609,0.2,46.7
2023-03-28 19:27:52.195876,0.3,46.7
2023-03-28 19:28:02.750505,0.4,46.2
2023-03-28 19:28:13.326965,0.6,46.2
2023-03-28 19:28:23.849653,0.3,46.7
2023-03-28 19:28:34.411495,0.3,46.7
2023-03-28 19:28:44.967607,0.3,46.7
2023-03-28 19:28:55.517518,0.2,46.2
2023-03-28 19:29:06.169606,0.9,47.2
